signal_id,variant,symbol,entry_time,exit_time,entry_price,exit_price,hold_h,reason,price_pnl_pct,price_pnl_usdt,funding_usdt,funding_events,commission_usdt,net_pnl_usdt,net_pnl_pct_margin,mfe_pct,mae_pct,funding_rate_at_entry,funding_interval_h
0819182124-BTWUSDT,V0_base,BTWUSDT,2026-08-19T18:21:24.571291+09:00,2026-08-20T02:08:20.958260+09:00,0.68052,0.45599,7.78,트레일링(최고43%→33%),32.99,19.796,0.1518,2,-0.06,19.888,66.29,43.09,1.52,0.00051687,4.0
0819182124-BTWUSDT,V2_hold24,BTWUSDT,2026-08-19T18:21:24.571333+09:00,2026-08-20T02:08:21.469564+09:00,0.68052,0.45599,7.78,트레일링(최고43%→33%),32.99,19.796,0.1518,2,-0.06,19.888,66.29,43.09,1.52,0.00051687,4.0
0819182124-BTWUSDT,V4_posfund,BTWUSDT,2026-08-19T18:21:24.571349+09:00,2026-08-20T02:08:22.006616+09:00,0.68052,0.45599,7.78,트레일링(최고43%→33%),32.99,19.796,0.1518,2,-0.06,19.888,66.29,43.09,1.52,0.00051687,4.0
0819182124-BTWUSDT,V5_stop30,BTWUSDT,2026-08-19T18:21:24.571355+09:00,2026-08-20T02:08:22.537756+09:00,0.68052,0.45599,7.78,트레일링(최고43%→33%),32.99,19.796,0.1518,2,-0.06,19.888,66.29,43.09,1.52,0.00051687,4.0
0819173029-STARUSDT,V2_hold24,STARUSDT,2026-08-19T17:30:29.989426+09:00,2026-08-20T17:30:36.988080+09:00,0.14696,0.14848,24.0,24h만기,-1.03,-0.621,0.2117,6,-0.06,-0.469,-1.56,8.23,11.02,0.00066103,4.0
0819203451-HEMIUSDT,V2_hold24,HEMIUSDT,2026-08-19T20:34:52.362734+09:00,2026-08-20T20:35:38.358693+09:00,0.00899,0.009119,24.02,24h만기,-1.43,-0.861,0.018,6,-0.06,-0.903,-3.01,6.64,7.52,5e-05,4.0
0820005944-MUBARAKUSDT,V2_hold24,MUBARAKUSDT,2026-08-20T00:59:44.967914+09:00,2026-08-21T01:02:09.082373+09:00,0.0233,0.01979,24.04,24h만기,15.06,9.039,0.0187,7,-0.06,8.997,29.99,17.81,6.44,5e-05,4.0
0820010633-TREEUSDT,V2_hold24,TREEUSDT,2026-08-20T01:06:33.986019+09:00,2026-08-21T01:06:28.307238+09:00,0.04519,0.03588,24.0,24h만기,20.6,12.361,-0.1814,6,-0.06,12.12,40.4,21.89,5.55,5e-05,4.0
0820234909-ONGUSDT,V5_stop30,ONGUSDT,2026-08-20T23:49:10.038979+09:00,2026-08-21T05:22:11.560321+09:00,0.08223,0.10973,5.56,스탑-30%,-33.44,-20.066,-0.3257,2,-0.06,-20.451,-68.17,8.52,33.44,5e-05,4.0
0820234909-ONGUSDT,V0_base,ONGUSDT,2026-08-20T23:49:10.038926+09:00,2026-08-21T05:43:52.131281+09:00,0.08223,0.11959,5.92,스탑-40%,-45.43,-27.26,-0.3257,2,-0.06,-27.646,-92.15,8.52,45.43,5e-05,4.0
0820234909-ONGUSDT,V1_notrail,ONGUSDT,2026-08-20T23:49:10.038952+09:00,2026-08-21T05:43:52.528790+09:00,0.08223,0.11959,5.92,스탑-40%,-45.43,-27.26,-0.3257,2,-0.06,-27.646,-92.15,8.52,45.43,5e-05,4.0
0820234909-ONGUSDT,V2_hold24,ONGUSDT,2026-08-20T23:49:10.038962+09:00,2026-08-21T05:43:52.905865+09:00,0.08223,0.11959,5.92,스탑-40%,-45.43,-27.26,-0.3257,2,-0.06,-27.646,-92.15,8.52,45.43,5e-05,4.0
0820234909-ONGUSDT,V4_posfund,ONGUSDT,2026-08-20T23:49:10.038973+09:00,2026-08-21T05:43:53.327339+09:00,0.08223,0.11959,5.92,스탑-40%,-45.43,-27.26,-0.3257,2,-0.06,-27.646,-92.15,8.52,45.43,5e-05,4.0
0820062510-MAGMAUSDT,V2_hold24,MAGMAUSDT,2026-08-20T06:25:10.603472+09:00,2026-08-21T06:26:42.669049+09:00,0.22683,0.23576,24.04,24h만기,-3.94,-2.362,0.0406,6,-0.06,-2.382,-7.94,3.98,14.54,0.00048406,4.0
0820005944-MUBARAKUSDT,V0_base,MUBARAKUSDT,2026-08-20T00:59:44.967860+09:00,2026-08-21T14:59:47.855618+09:00,0.0233,0.02115,38.0,트레일링(최고20%→9%),9.23,5.536,0.0257,10,-0.06,5.502,18.34,20.09,6.44,5e-05,4.0
0820005944-MUBARAKUSDT,V4_posfund,MUBARAKUSDT,2026-08-20T00:59:44.967926+09:00,2026-08-21T14:59:48.304261+09:00,0.0233,0.02115,38.0,트레일링(최고20%→9%),9.23,5.536,0.0257,10,-0.06,5.502,18.34,20.09,6.44,5e-05,4.0
0820005944-MUBARAKUSDT,V5_stop30,MUBARAKUSDT,2026-08-20T00:59:44.967931+09:00,2026-08-21T14:59:48.813950+09:00,0.0233,0.02115,38.0,트레일링(최고20%→9%),9.23,5.536,0.0257,10,-0.06,5.502,18.34,20.09,6.44,5e-05,4.0
0820165733-BOMEUSDT,V2_hold24,BOMEUSDT,2026-08-20T16:57:33.658822+09:00,2026-08-21T17:00:37.730251+09:00,0.0011327,0.0014525,24.06,24h만기,-28.23,-16.94,0.021,7,-0.06,-16.979,-56.6,4.03,29.4,5e-05,4.0
0820165733-BOMEUSDT,V5_stop30,BOMEUSDT,2026-08-20T16:57:33.658828+09:00,2026-08-21T17:18:39.711587+09:00,0.0011327,0.0014935,24.36,스탑-30%,-31.85,-19.112,0.021,7,-0.06,-19.151,-63.84,4.03,31.85,5e-05,4.0
0819173029-STARUSDT,V0_base,STARUSDT,2026-08-19T17:30:29.989411+09:00,2026-08-21T17:32:19.626335+09:00,0.14696,0.14301,48.03,48h만기,2.69,1.613,0.26,12,-0.06,1.813,6.04,10.62,11.02,0.00066103,4.0
