entry_time,exit_time,symbol,margin_usdt,csv_pnl_usdt,realized_pnl,funding_usdt,commission_usdt,net_pnl_usdt,net_pnl_pct_margin,diff_vs_csv,reason,src
2026-08-26T03:05:50.056899+09:00,2026-08-26T11:32:00.371541+09:00,BMTUSDT,30.0,-24.14,-24.1437,-0.8541,-0.072,-25.07,-83.57,-0.93,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-26T01:03:02.923047+09:00,2026-08-26T18:02:19.344562+09:00,FFUSDT,50.0,9.59,9.59,0.0,0.0,9.59,19.18,0.0,트레일링(최고21%→10%)[마진],margin_short_wide_trades.csv
2026-08-26T00:05:41.179197+09:00,2026-08-26T19:42:28.287320+09:00,TLMUSDT,30.0,7.33,7.3336,-0.6319,-0.0565,6.645,22.15,-0.685,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-25T22:10:22.873252+09:00,2026-08-26T20:12:49.218533+09:00,ONTUSDT,30.0,4.23,4.2307,-0.467,-0.058,3.706,12.35,-0.524,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-26T00:35:26.358183+09:00,2026-08-26T20:21:28.353461+09:00,ZROUSDT,50.0,5.61,5.61,0.0,0.0,5.61,11.22,0.0,외부청산(현재가추정)[마진],margin_short_wide_trades.csv
2026-08-26T22:09:57.586488+09:00,2026-08-26T23:13:32.103159+09:00,ONGUSDT,30.0,-24.38,-20.3409,0.0,-0.0709,-20.412,-68.04,3.968,스탑+40%[선물],margin_short_wide_trades.csv
2026-08-26T17:43:25.130356+09:00,2026-08-27T06:58:20.282305+09:00,BMTUSDT,30.0,9.93,9.9258,-0.3007,-0.055,9.57,31.9,-0.36,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-27T04:24:52.456834+09:00,2026-08-27T10:15:14.458637+09:00,HEIUSDT,30.0,7.19,7.1915,-0.0365,-0.0569,7.098,23.66,-0.092,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-26T20:45:53.068733+09:00,2026-08-27T13:02:36.847823+09:00,BICOUSDT,30.0,-24.02,-23.4514,-1.4056,-0.1019,-24.959,-83.2,-0.939,스탑+40%[선물],margin_short_wide_trades.csv
2026-08-27T09:27:19.764007+09:00,2026-08-27T13:14:49.691224+09:00,GASUSDT,30.0,6.79,6.7887,-0.0852,-0.0564,6.647,22.16,-0.143,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-27T13:03:15.000000+09:00,2026-08-27T13:25:48.000000+09:00,BICOUSDT,30.07,5.34,5.3404,0.0,-0.0575,5.283,17.57,-0.058,수동직접매매(전량)[선물],margin_short_wide_trades.csv
2026-08-27T15:30:03.481551+09:00,2026-08-27T21:35:31.039590+09:00,PROMUSDT,30.0,4.13,4.1349,0.0056,-0.0582,4.082,13.61,-0.048,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-27T13:27:49.500513+09:00,2026-08-27T21:37:33.512976+09:00,BICOUSDT,30.0,3.67,0.0,0.0,0.0,0.0,0.0,-3.67,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-28T00:13:10.886628+09:00,2026-08-28T03:15:05.001053+09:00,CHIPUSDT,30.0,3.32,3.3179,0.0031,-0.0583,3.263,10.88,-0.057,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-27T02:53:31.597743+09:00,2026-08-28T06:53:21.642531+09:00,TUTUSDT,30.0,4.28,4.28,0.0338,-0.0577,4.256,14.19,-0.024,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-27T03:59:23.268531+09:00,2026-08-28T06:55:28.434557+09:00,SUSDT,50.0,4.52,4.52,0.0,0.0,4.52,9.04,0.0,외부청산(현재가추정)[마진],margin_short_wide_trades.csv
2026-08-27T12:36:42.753655+09:00,2026-08-28T08:10:13.536078+09:00,RUNEUSDT,30.0,5.03,5.029,-0.03,-0.0571,4.942,16.47,-0.088,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-26T14:51:14.698226+09:00,2026-08-28T14:51:07.350220+09:00,EDENUSDT,30.0,-9.13,-9.1091,-0.8149,-0.0645,-9.988,-33.29,-0.858,48h만기[선물],margin_short_wide_trades.csv
2026-08-27T20:33:43.461213+09:00,2026-08-28T15:59:39.104272+09:00,HEMIUSDT,30.0,-24.0,-24.6921,0.0167,-0.1024,-24.778,-82.59,-0.778,서버측스탑+40%(다운중자동실행)[선물],margin_short_wide_trades.csv
2026-08-26T23:32:46.013925+09:00,2026-08-28T16:21:39.026105+09:00,ONTUSDT,30.0,3.76,3.7624,-1.6742,-0.058,2.03,6.77,-1.73,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-28T15:59:43.517515+09:00,2026-08-28T18:12:19.735091+09:00,HEMIUSDT,30.0,3.19,3.239,0.0027,-0.0285,3.213,10.71,0.023,트레일링(최고17%→5%)[선물],margin_short_wide_trades.csv
2026-08-27T13:46:13.532638+09:00,2026-08-29T06:05:24.882816+09:00,MOVRUSDT,30.0,6.95,6.9549,0.0212,-0.0549,6.921,23.07,-0.029,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-28T10:33:43.623830+09:00,2026-08-29T06:11:48.631851+09:00,TRUMPUSDT,50.0,9.99,9.99,0.0,0.0,9.99,19.98,0.0,외부청산(현재가추정)[마진],margin_short_wide_trades.csv
2026-08-27T09:04:27.463839+09:00,2026-08-29T09:04:50.186976+09:00,VETUSDT,50.0,-2.67,-2.67,0.0,0.0,-2.67,-5.34,0.0,48h만기[마진],margin_short_wide_trades.csv
2026-08-28T05:47:32.121287+09:00,2026-08-29T11:19:16.365458+09:00,BMTUSDT,30.0,6.8,6.8014,-0.0792,-0.0567,6.665,22.22,-0.135,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-28T19:18:32.663372+09:00,2026-08-29T11:23:23.383248+09:00,MANTRAUSDT,30.0,6.26,6.2615,-0.4898,-0.057,5.715,19.05,-0.545,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-28T23:41:13.304445+09:00,2026-08-29T13:44:56.504055+09:00,CHIPUSDT,30.0,5.22,5.217,0.0072,-0.0573,5.167,17.22,-0.053,외부청산(실체결가)[선물],margin_short_wide_trades.csv
2026-08-28T15:45:24.093183+09:00,2026-08-29T14:04:47.734298+09:00,EDENUSDT,30.0,4.23,4.2282,-0.0049,-0.058,4.165,13.88,-0.065,외부청산(실체결가)[선물],margin_short_wide_trades.csv
